Linea;Línea Unificada;Canal de distribución;Anio;Mes;Fecha;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Rendimiento;Precio
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;14/11/2019;1513729;-1520;9200;-10110;1515249;165
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;15/11/2019;284452;0;1630;-480;284452;175
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;16/11/2019;0;87203;0;1150;-87203;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;19/11/2019;1279673;179167;7040;14855;1100506;182
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;20/11/2019;800581;675875;4554;-30;124706;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;21/11/2019;160520;34359;915;-650;126161;175
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;22/11/2019;121119;1027678;690;12516;-906559;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;25/11/2019;3043732;90669;17200;1895;2953063;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;26/11/2019;615195;2641054;3480;35790;-2025859;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;27/11/2019;1109329;67827;6130;25495;1041502;181
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;28/11/2019;0;21032;0;-17740;-21032;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;29/11/2019;235237;31570098;1290;409074;-31334861;182
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;1/12/2019;0;821678;0;89810;-821678;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;2/12/2019;219420;1934921;1130;-78175;-1715501;194
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;3/12/2019;4202129;30778;23820;-4620;4171351;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;4/12/2019;8165053;239431;46325;3060;7925622;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;5/12/2019;20347703;371791;114575;-690;19975912;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;6/12/2019;2142500;7063;12090;90;2135437;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;9/12/2019;916901;11878832;4960;151320;-10961931;185
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;10/12/2019;864840;1964052;4750;-115;-1099212;182
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;11/12/2019;7956822;964263;44520;12193;6992559;179
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;12/12/2019;10305580;-785;57225;-10;10306365;180
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;13/12/2019;3625025;22386;19969;285;3602639;182
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;14/12/2019;138653;0;779;0;138653;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;16/12/2019;4651581;272614;26405;3461;4378967;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;17/12/2019;339161;1641761;1914;19855;-1302600;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;18/12/2019;10677803;-3940;61095;-50;10681743;175
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;19/12/2019;485857;28834;2760;365;457023;176
